"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
15,20240813a,fa/fa,Young,M,0,Vehicle,55.65217971801758,-2.03192138671875,53.62025833129883,4.019121245292636,3.981926950612299,-0.3913596612727266,-0.03719429468033697
16,20240813a,fa/fa,Young,M,10,Vehicle,58.6665267944336,-2.849647521972656,55.816879272460945,4.071869322181409,4.022076319566837,-0.13749399139669535,-0.04979300261457187
17,20240813a,fa/fa,Young,M,11,Vehicle,62.93274688720703,-1.416015625,61.51673126220703,4.142066646470323,4.11930919085677,0.2003513255366169,-0.022757455613553468
18,20240813a,fa/fa,Young,M,12,Vehicle,47.44821166992188,-1.4843254089355469,45.963886260986335,3.859638835619079,3.827856006868488,-1.1589157723816532,-0.03178282875059102
19,20240813a,fa/fa,Young,M,13,Vehicle,48.67800521850586,-2.2427635192871094,46.43524169921875,3.8852272898455844,3.8380586903230447,-1.035763793078185,-0.04716859952253971
20,20240813a,fa/fa,Young,M,14,Vehicle,51.62437057495117,-4.925056457519531,46.69931411743164,3.943993858954109,3.843729477574098,-0.7529323551755254,-0.10026438138001081
21,20240813a,fa/fa,Young,M,1,Vehicle,54.06309127807617,-2.932025909423828,51.131065368652344,3.9901517215678033,3.9343922453436826,-0.5307840342579643,-0.055759476224120696
22,20240813a,fa/fa,Young,M,2,Vehicle,53.21796417236328,-1.6153221130371094,51.60264205932617,3.974396011761944,3.943572873876823,-0.6066130323970071,-0.03082313788512092
23,20240813a,fa/fa,Young,M,3,Vehicle,62.82569122314453,-3.1935272216796875,59.632164001464844,4.140364085727181,4.0881950929589195,0.1921572500545117,-0.05216899276826137
24,20240813a,fa/fa,Young,M,4,Vehicle,62.74579620361328,-3.1033668518066406,59.64242935180664,4.139091582996675,4.0883672226653145,0.18603295553700272,-0.050724360331360074
25,20240813a,fa/fa,Young,M,5,Vehicle,59.07408142089844,-2.4554443359375,56.61863708496094,4.078792273580914,4.036338208128775,-0.10417524693781091,-0.042454065452139034
26,20240813a,fa/fa,Young,M,6,Vehicle,48.12856674194336,-3.063053131103516,45.065513610839844,3.873875903979936,3.8081172890551507,-1.0903956838839983,-0.06575861492478552
27,20240813a,fa/fa,Young,M,7,Vehicle,54.142486572265625,-0.4205551147460937,53.72193145751953,3.9916192116919738,3.9838213251695267,-0.5237213054272135,-0.007797886522447062
28,20240813a,fa/fa,Young,M,8,Vehicle,64.2564926147461,-2.318035125732422,61.93845748901367,4.162882771039471,4.1261412709255305,0.30053506150698733,-0.03674150011394062
29,20240813a,fa/fa,Young,M,9,Vehicle,52.22148895263672,-2.1374282836914062,50.08406066894531,3.9554940759368162,3.913702807149816,-0.6975841707442543,-0.041791268787000124
51,20240814a,fa/fa,Young,M,0,Vehicle,67.96755981445312,3.4310226440429688,71.3985824584961,4.219030529793881,4.268278015625992,0.570762702569289,0.049247485832110804
52,20240814a,fa/fa,Young,M,10,Vehicle,72.23143005371094,0.4416427612304687,72.6730728149414,4.279875270478297,4.285970928239072,0.8635959538147089,0.00609565776077492
53,20240814a,fa/fa,Young,M,12,Vehicle,60.9000244140625,1.958194732666016,62.858219146728516,4.109233575603497,4.140881700499263,0.04233249297765862,0.031648124895766294
54,20240814a,fa/fa,Young,M,13,Vehicle,71.50132751464844,-2.4278793334960938,69.07344818115234,4.2697160161660435,4.235170404848144,0.814701547543564,-0.034545611317899017
55,20240814a,fa/fa,Young,M,14,Vehicle,73.11808013916016,-1.0071334838867188,72.11094665527344,4.2920756704986776,4.278205858775841,0.9223139755249684,-0.01386981172283619
56,20240814a,fa/fa,Young,M,15,Vehicle,59.41792297363281,1.28271484375,60.70063781738281,4.084595914419024,4.105954205710129,-0.07624351452236323,0.021358291291104337
57,20240814a,fa/fa,Young,M,16,Vehicle,63.6280403137207,1.595294952392578,65.22333526611328,4.15305425862051,4.177817307755157,0.25323244809824047,0.024763049134646664
58,20240814a,fa/fa,Young,M,17,Vehicle,60.7442626953125,2.197895050048828,62.94215774536133,4.10667263653138,4.14221617362507,0.030007218742058507,0.03554353709369007
59,20240814a,fa/fa,Young,M,18,Vehicle,58.30469512939453,2.39886474609375,60.70355987548828,4.065682624065641,4.106002343388423,-0.16726929988409536,0.040319719322782
60,20240814a,fa/fa,Young,M,19,Vehicle,59.2351188659668,2.7594070434570312,61.99452590942383,4.081514590089386,4.127046089363656,-0.09107329621655631,0.04553149927427036
61,20240814a,fa/fa,Young,M,1,Vehicle,76.8688735961914,1.6547164916992188,78.52359008789062,4.342101029893349,4.363399090317841,1.16307576481819,0.021298060424491894
62,20240814a,fa/fa,Young,M,2,Vehicle,51.63163757324219,1.1179351806640625,52.74957275390625,3.944134615863723,3.965555672871361,-0.7522549210536289,0.021421057007637856
63,20240814a,fa/fa,Young,M,3,Vehicle,74.87246704101562,0.9654769897460938,75.83794403076172,4.315786226694988,4.328598748280275,1.036428016963906,0.01281252158528634
64,20240814a,fa/fa,Young,M,4,Vehicle,72.48564147949219,1.1058349609375,73.59147644042969,4.283388493687695,4.298529209795131,0.8805043761892041,0.01514071610743617
65,20240814a,fa/fa,Young,M,5,Vehicle,85.79400634765625,3.0335845947265625,88.82759094238281,4.451949147965944,4.486697310548755,1.6917522156758016,0.03474816258281077
66,20240814a,fa/fa,Young,M,6,Vehicle,67.88428497314453,2.730308532714844,70.61459350585938,4.217804564082941,4.257236830020133,0.5648623811773078,0.03943226593719196
67,20240814a,fa/fa,Young,M,7,Vehicle,63.34590530395508,2.3431129455566406,65.68901824951172,4.148610268592196,4.18493176158813,0.23184443602266852,0.0363214929959339
68,20240814a,fa/fa,Young,M,8,Vehicle,63.47264862060547,-0.4965248107910156,62.97612380981445,4.150609082723502,4.142755667411952,0.2414643182692125,-0.007853415311550371
69,20240814a,fa/fa,Young,M,9,Vehicle,60.77690887451172,9.182144165039062,69.95905303955078,4.107209928586137,4.247910114317666,0.032593095146378086,0.14070018573152865
98,20240815a,fa/+,Young,F,0,Vehicle,55.119102478027344,6.7966156005859375,61.91571807861328,4.009496343518176,4.125774074413153,-0.43768233843149096,0.11627773089497673
99,20240815a,fa/+,Young,F,10,Vehicle,49.12013626098633,5.573268890380859,54.69340515136719,3.8942690578779207,4.001743138199137,-0.9922476189580761,0.10747408032121619
100,20240815a,fa/+,Young,F,11,Vehicle,50.70888519287109,5.99371337890625,56.70259857177734,3.926101145595075,4.037820039873612,-0.8390463128913517,0.11171889427853676
101,20240815a,fa/+,Young,F,12,Vehicle,49.83691787719727,6.311214447021484,56.14813232421876,3.9087560322218455,4.027993418373348,-0.9225247842459703,0.11923738615150237
102,20240815a,fa/+,Young,F,13,Vehicle,49.954044342041016,6.9642486572265625,56.91829299926758,3.911103469625475,4.041616783300201,-0.9112270497291062,0.13051331367472585
